ID_worker;ID_Clientsl;FIO;Age;phone;Role_worker_ID_Role;IsDeleted;photo;password
1;1;Конкин эдит;33;+7(916)111-11-33;3;1;1.png;FEE2CAEF
2;2;Козлова Елена Михайловна;28;+79162222222;2;0;2.png;8D7E1508
3;3;Лебедев Дмитрий Сергеевич;35;+79163333333;3;0;3.png;F1209E00
4;4;Новикова Ирина Петровна;30;+79164444444;1;0;4.png;6733BF1F
5;5;Морозов Андрей Николаевич;40;+79165555555;2;0;5.png;2200B22B
6;6;Волкова Светлана Александровна;29;+79166666666;3;0;6.png;F418A320
7;7;Алексеев Павел Игоревич;33;+79167777777;1;0;7.png;78FE20FB
8;8;Павлова Ольга Викторовна;31;+79168888888;2;0;8.png;218DA4A8
9;9;Семенов Роман Дмитриевич;38;+79169999999;3;0;9.png;503A4BA3
10;10;Фролова Марина Сергеевна;27;+79161010101;1;0;10.png;39463A5C
11;11;Голубев Иван Алексеевич;34;+79162121212;2;0;11.png;.png
12;12;Кудрявцева Анна Андреевна;26;+79163232323;3;0;12.png;5B6DF9CC
13;13;Беляев Сергей Владимирович;36;+79164343434;1;0;13.png;58366788
14;14;Маркова Татьяна Олеговна;32;+79165454545;2;0;14.png;E8E56D27
15;15;Тарасов Виктор Петрович;41;+79166565656;3;0;15.png;6E8AD570
16;16;Власова Екатерина Игоревна;28;+79167676767;1;0;16.png;9D92F1ED
17;17;Миронов Артем Сергеевич;35;+79168787878;2;0;17.png;A4CA4CC2
18;18;Журавлева Надежда Александровна;30;+79169898989;3;0;18.png;A2F34BFB
19;19;Савельев Денис Николаевич;39;+79160909090;1;0;19.png;AF53B0A1
20;20;Рыбакова Любовь Викторовна;29;+79162020202;2;0;20.png;595C7A32
21;21;Суханов Максим Олегович;33;+79163131313;3;0;21.png;80FAD90E
22;22;Маслова Юлия Дмитриевна;25;+79164242424;1;0;22.png;9B7341FE
23;23;Ефимов Александр Сергеевич;37;+79165353535;2;0;23.png;60C374F7
24;24;Федотова Оксана Павловна;31;+79166464646;3;0;24.png;F7C6C5B5
25;25;Данилов Николай Игоревич;42;+79167575757;1;0;25.png;22BE994E
26;26;Комарова Алиса Владимировна;27;+79168686868;2;0;26.png;3D686F4A
27;27;Щукин Вадим Андреевич;34;+79169797979;3;0;27.png;5BB53265
28;28;Ларина Ирина Сергеевна;32;+79160808080;1;0;28.png;1EEA7571
29;29;Матвеев Евгений Петрович;40;+79161919191;2;0;29.png;7D856E89
30;30;Горбунова Наталья Олеговна;26;+79163030303;3;0;30.png;4BAA38B4
31;31;Орехов Артур Дмитриевич;35;+79164141414;1;0;31.png;150AF5A9
32;32;Селезнева Виктория Александровна;30;+79165252525;2;0;32.png;1976D137
33;33;Егоров Станислав Игоревич;38;+79166363636;3;0;33.png;9DCD16D3
34;34;Зайцева Мария Николаевна;29;+79167474747;1;0;34.png;1C16865A
35;35;Исаев Владимир Сергеевич;43;+79168585858;2;0;35.png;7E63BD1E
36;36;Сазонова Елена Викторовна;28;+79169696969;3;0;36.png;CB2C1CB8
37;37;Калашников Роман Андреевич;36;+79160707070;1;0;37.png;FEC9411C
38;38;Широкова Ангелина Павловна;33;+79161818181;2;0;38.png;8FB3003C
39;39;Носков Алексей Олегович;41;+79162929292;3;0;39.png;82DE3AB9
40;40;Мартынова Кристина Дмитриевна;27;+79164040404;1;0;40.png;662EA48E
41;41;Лихачев Михаил Сергеевич;34;+79165151515;2;0;41.png;3509E030
42;42;Гордеева Валерия Игоревна;31;+79166262626;3;0;42.png;6745D1E1
43;43;Шестаков Григорий Александрович;39;+79167373737;1;0;43.png;E8923B45
44;44;Субботина Дарья Петровна;30;+79168484848;2;0;44.png;2994C8F5
45;45;Тихомиров Борис Николаевич;44;+79169595959;3;0;45.png;C8D097A8
46;46;Котова Анастасия Владимировна;29;+79160606060;1;0;46.png;2C35B9ED
47;47;Прохоров Илья Андреевич;37;+79161717171;2;0;47.png;2974C0F6
48;48;Назарова Олеся Сергеевна;32;+79162828282;3;0;48.png;C5633611
49;49;Гаврилов Константин Олегович;42;+79163939393;1;0;49.png;FEE3F708
50;50;Лобанова Инна Викторовна;28;+79165050505;2;0;50.png;5878D651
